,Date,Open,High,Low,Close,Adj Close,Volume,up_down,Mean Score,Mean Magnitude
137,2020-05-18,9675.6953125,9906.0302734375,9570.359375,9726.5751953125,9726.5751953125,41827139896,1,-0.009999997168779372,1.4600000001490117
138,2020-05-19,9727.0634765625,9836.0478515625,9539.6240234375,9729.0380859375,9729.0380859375,39254288955,1,0.010000000149011612,0.8700000144541263
139,2020-05-20,9725.3291015625,9804.7939453125,9447.201171875,9522.9814453125,9522.9814453125,36546239703,0,0.1100000023841858,0.6599999994039536
140,2020-05-21,9522.740234375,9555.2421875,8869.9306640625,9081.76171875,9081.76171875,39326160532,0,0.08999999985098839,1.2700000166893006
141,2020-05-22,9080.3349609375,9232.9365234375,9008.638671875,9182.5771484375,9182.5771484375,29810773699,0,0.030000004917383194,0.9799999967217445
142,2020-05-23,9185.0625,9302.501953125,9118.1083984375,9209.287109375,9209.287109375,27727866812,1,-0.17999999970197678,1.3700000144541264
143,2020-05-24,9212.283203125,9288.404296875,8787.2509765625,8790.3681640625,8790.3681640625,32518803300,1,-0.010000000894069671,1.0399999916553497
144,2020-05-25,8786.107421875,8951.005859375,8719.66796875,8906.9345703125,8906.9345703125,31288157264,0,-0.10000000223517418,1.1500000059604645
145,2020-05-26,8909.5859375,8991.9677734375,8757.2939453125,8835.052734375,8835.052734375,29584186947,1,0.180000002682209,0.7500000037252903
146,2020-05-27,8837.380859375,9203.3203125,8834.1572265625,9181.017578125,9181.017578125,32740536902,0,-0.15000000223517418,1.3199999898672103
147,2020-05-28,9184.9453125,9546.3193359375,9148.45703125,9525.7509765625,9525.7509765625,34367073114,1,0.020000001043081285,1.2799999982118606
148,2020-05-29,9528.35546875,9573.6669921875,9379.3388671875,9439.1240234375,9439.1240234375,32896642044,1,-0.05000000074505806,0.6700000092387199
149,2020-05-30,9438.9140625,9704.0302734375,9366.7294921875,9700.4140625,9700.4140625,32722975141,0,-0.08000000044703484,0.9200000092387199
150,2020-05-31,9700.10546875,9700.34375,9432.296875,9461.05859375,9461.05859375,27773290299,1,-0.009999999403953552,0.8100000038743019
151,2020-06-01,9463.60546875,10199.5654296875,9450.8994140625,10167.2685546875,10167.2685546875,35198901068,0,-0.019999998807907104,0.5200000092387199
152,2020-06-02,10162.9736328125,10182.3408203125,9460.5712890625,9529.8037109375,9529.8037109375,39137252109,1,-0.05000000149011612,0.9500000067055225
153,2020-06-03,9533.7607421875,9682.859375,9471.8466796875,9656.7177734375,9656.7177734375,25007459262,0,-0.02999999448657036,0.8800000049173832
154,2020-06-04,9655.8544921875,9887.6103515625,9525.2470703125,9800.63671875,9800.63671875,25921805072,1,2.2351741790771484e-09,1.180000004917383
155,2020-06-05,9800.2158203125,9869.2373046875,9663.216796875,9665.533203125,9665.533203125,23509628646,1,-7.450580596923829e-10,1.0900000154972076
156,2020-06-06,9664.904296875,9773.431640625,9591.0244140625,9653.6796875,9653.6796875,20438419222,0,0.060000001639127734,0.9599999919533729
157,2020-06-07,9653.0029296875,9768.498046875,9458.150390625,9758.8525390625,9758.8525390625,25015250846,0,-0.030000001192092896,0.7399999983608723
158,2020-06-08,9760.0634765625,9782.306640625,9675.8857421875,9771.4892578125,9771.4892578125,21486346312,1,0.04000000208616257,0.9600000113248826
159,2020-06-09,9774.3603515625,9836.369140625,9664.7197265625,9795.7001953125,9795.7001953125,23717842783,1,0.19000000208616258,1.019999985396862
160,2020-06-10,9794.119140625,9908.896484375,9728.291015625,9870.0947265625,9870.0947265625,25706567601,1,0.08000000193715096,1.2199999958276748
161,2020-06-11,9870.078125,9938.2978515625,9263.0693359375,9321.78125,9321.78125,30247143440,1,-0.05000000298023224,1.340000008046627
162,2020-06-12,9320.6904296875,9540.4658203125,9285.8515625,9480.84375,9480.84375,22610564515,0,0.09000000208616257,0.41000000238418577
163,2020-06-13,9480.7353515625,9493.2119140625,9396.009765625,9475.27734375,9475.27734375,17564322315,1,-0.05000000074505806,0.659999991953373
164,2020-06-14,9477.5537109375,9482.2705078125,9347.59375,9386.7880859375,9386.7880859375,18991732746,0,-0.11000000312924385,0.6000000089406967
